timestamp	exp_id	code_sha	parent_sha	description	status	gguf_size_bytes	base_type	diffusion	refine_iterations	model_size_mb	quantize_time_s	eval_time_s	tokens_per_sec	ppl	ppl_base	ppl_cor	ppl_ln_ratio	ppl_ratio	ppl_diff	kld_mean	kld_max	kld_99_9	kld_99_0	kld_95_0	kld_90_0	kld_median	kld_10_0	kld_5_0	kld_1_0	kld_0_1	kld_min	dp_mean	dp_max	dp_99_9	dp_99_0	dp_95_0	dp_90_0	dp_75_0	dp_median	dp_25_0	dp_10_0	dp_5_0	dp_1_0	dp_0_1	dp_min	dp_rms	same_top_p
2026-07-10T02:00:00	exp-013	070197257	070197257	Iterative Joint Optimization (IJO) — multi-pass refinement of superblock parameters within 144-byte block	REGRESSION	529297440	Q4_K_M_CLONE	0	0	494.32	9.59	130	200	25.295724	21.522114	97.74	0.161554	1.175336	3.773610	0.165138	8.246680	2.472958	0.924834	0.452569	0.332621	0.119368	0.016416	0.006179	0.000951	0.000100	0.000002	-2.033	66.528	35.020	18.392	8.555	4.521	0.411	-0.098	-3.080	-10.844	-17.662	-37.145	-73.344	-98.493	9.389	79.430
2026-07-10T00:05:00	exp-014	de78d6cc9	f8b7d29a6	Transparent zstd compression of GGUF file (post-quantization) — lossless, quality identical to baseline	SUCCESS	515293111	Q4_K_M_CLONE	0	0	491.41	14.67	552	935	22.449870	21.522114	99.18	0.042204	1.043107	0.927756	0.062947	2.728466	0.816073	0.344801	0.169419	0.125335	0.046588	0.006354	0.002187	0.000278	0.000025	-0.000001	-0.852	47.694	27.676	13.976	6.213	3.350	0.458	-0.016	-1.636	-6.135	-9.827	-21.317	-47.437	-86.256	5.753	86.387
2026-07-10T00:08:00	exp-015	96fa97a0b	de78d6cc9	zstd level 19 — maximum GGUF compression, benchmarked all algorithms/params (xz, bzip2, --ultra -22, split, delta) — zstd -19 is the practical maximum	SUCCESS	513124023	Q4_K_M_CLONE	0	0	489.35	67.36	540	950	22.449870	21.522114	99.18	0.042204	1.043107	0.927756	0.062947	2.728466	0.816073	0.344801	0.169419	0.125335	0.046588	0.006354	0.002187	0.000278	0.000025	-0.000001	-0.852	47.694	27.676	13.976	6.213	3.350	0.458	-0.016	-1.636	-6.135	-9.827	-21.317	-47.437	-86.256	5.753	86.387
2026-07-10T00:16:22	exp-016	c8b50ea4	238b6d5a	Walsh-Hadamard per-superblock preprocessing (FWHT/IWHT) — QuIP/PolarQuant-inspired rotation before quantize, inverse at dequant — same 144-byte block, quality IMPROVED (KLD -9.7%, same_top_p +0.81pp)	SUCCESS	513745093	Q4_K_M_CLONE	0	0	494.32	66.56	620	103	22.488848	21.522114	99.24	0.043939	1.044918	0.966734	0.056838	2.193934	0.823377	0.317526	0.153761	0.115702	0.041396	0.004876	0.001735	0.000215	1.7e-05	-3e-06	-0.397	44.093	25.174	13.703	6.727	3.829	0.687	-0.002	-1.116	-4.897	-8.414	-17.931	-42.252	-84.987	5.183	87.2
2026-07-10T07:09:21	exp-018	d5d144f67	6bf16d976	Column-major block reordering (K-first) for better zstd compression — reorder 2D tensor blocks in GGUF from row-major to column-major order, group same-K-range blocks for zstd. In-place byte transposition.	FAILED	513878004	Q4_K_M_CLONE	0	0	494.32	65.06	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2026-07-10T02:30:00	exp-019	0b26a11b5	0b26a11b5	FWHT + MSE-optimized secondary quantization via local search on d/dmin/ls/lm (quantize-side only, same 144B struct, dequant unchanged)	SUCCESS	513873380	Q4_K_M_CLONE	0	0	494.32	65.86	620	103	22.224449	21.522114	99.24	0.032112	1.032633	0.702336	0.055513	2.832417	0.777438	0.297584	0.151539	0.112631	0.040228	0.005159	0.001769	0.000206	0.000019	-0.000000	-0.575	53.139	23.812	12.936	6.195	3.587	0.582	-0.003	-1.286	-5.257	-8.796	-18.813	-40.631	-87.345	5.211	87.411

2026-07-10T02:38:00	exp-020	5c8cb7d60	40620d623	Coarse fp16 rounding of d/dmin (5 mantissa bits kept, 5 cleared) for better zstd byte-level compression — quantize-side only, same 144B struct	SUCCESS	512956650	Q4_K_M_CLONE	0	0	494.32	66.61	620	105	22.375416	21.522114	99.29	0.038882	1.039648	0.853302	0.052883	2.726283	0.763462	0.288948	0.144708	0.106542	0.038399	0.005149	0.001928	0.000239	0.000023	0.000001	-0.627	42.560	24.116	12.735	6.041	3.416	0.496	-0.006	-1.316	-5.160	-8.772	-18.376	-41.193	-83.172	5.171	87.789
2026-07-10T02:50:00	exp-021	b63789907	b63789907	Aggressive fp16 rounding (3 mantissa bits) + 4-bit ls/lm rounding — KLD tripled	REGRESSION	510660086	Q4_K_M_CLONE	0	0	494.32	75.53	625	103	23.4762	21.5221	98.50	0.086905	1.090793	1.954057	0.108419	7.481568	1.822788	0.609968	0.295775	0.216675	0.077557	0.010385	0.003785	0.000477	0.000049	0.000008	-1.149	61.788	31.169	17.464	8.336	4.590	0.588	-0.029	-2.053	-7.944	-13.402	-28.813	-58.453	-92.416	7.513	82.970
2026-07-10T03:00:00	exp-022	9cce6161e	5c8cb7d60	4-bit d/dmin mantissa rounding (from exp-020's 5-bit) — single variable change, mask 0xFFE0→0xFFC0, quantize-side only	SUCCESS	512839250	Q4_K_M_CLONE	0	0	494.32	70.46	620	103	22.454995	21.522114	99.28	0.042432	1.043345	0.932882	0.054332	2.443612	0.888316	0.299820	0.147472	0.108940	0.039661	0.004922	0.001764	0.000221	0.000023	-0.000003	-0.489	46.197	25.005	13.035	6.364	3.627	0.607	-0.004	-1.155	-4.938	-8.436	-18.479	-40.763	-88.764	5.199	87.654																																				
2026-07-10T03:03:00	exp-023	180180d43	282d9aea7	5-bit sc quantization (single variable: sc 6→5 bits, m stays 6-bit, same 144B struct, quantize-side only) — conservatively target scales[] for zstd compression	SUCCESS	512175330	Q4_K_M_CLONE	0	0	494.32	71.57	620	103	22.658316	21.522114	99.28	0.051446	1.052792	1.136202	0.055148	2.652889	0.769250	0.300599	0.150721	0.111293	0.040228	0.004894	0.001725	0.000183	0.000022	0.000002	-0.291	43.155	26.619	13.780	7.059	4.144	0.753	-0.002	-0.979	-4.680	-8.339	-18.940	-37.824	-87.375	5.256	87.414
2026-07-10T03:12:00	exp-024	91f7fe531	180180d43	4-bit sc quantization — sc 5→4 bits (16 levels), m 6-bit, d/dmin 4-bit mantissa, quantize-side only, same 144B struct	SUCCESS	511565412	Q4_K_M_CLONE	0	0	494.32	69.01	620	103	22.576007	21.522114	99.25	0.047807	1.048968	1.053893	0.055735	1.999595	0.730031	0.300732	0.150572	0.112183	0.041678	0.005157	0.001656	0.000185	0.000014	0.000001	-0.375	50.588	24.837	13.268	6.937	4.131	0.738	-0.002	-1.080	-4.910	-8.666	-19.119	-40.040	-78.655	5.239	87.364
2026-07-10T03:23:00	exp-025	de3a93c4b	b2581e1d4	Nibble rotation + consecutive packing — qs[] nibbles rotated (q_raw+8)&0xF to bias center→0x0/0xF for zstd, consecutive-weight byte packing for byte runs, same 144B struct	SUCCESS	510848302	Q4_K_M_CLONE	0	0	494.32	69.10	620	103	22.576007	21.522114	99.25	0.047807	1.048968	1.053893	0.055735	1.999595	0.730031	0.300732	0.150572	0.112183	0.041678	0.005157	0.001656	0.000185	0.000014	0.000001	-0.375	50.588	24.837	13.268	6.937	4.131	0.738	-0.002	-1.080	-4.910	-8.666	-19.119	-40.040	-78.655	5.239	87.364
2026-07-10T08:38:37	026	TBD	de3a93c4b	Re-pack scales[] to group sc values together (bytes 0-3) and m values together (bytes 4-11) for zstd gradient detection	REGRESSION	511301540	Q4_K_M_CLONE	0	0	494.32	69.14	620	103	22.576007	21.522114	99.25	0.047807	1.048968	1.053893	0.055735	1.999595	0.730031	0.300732	0.150572	0.112183	0.041678	0.005157	0.001656	0.000185	0.000014	0.000001	-0.375	50.588	24.837	13.268	6.937	4.131	0.738	-0.002	-1.080	-4.910	-8.666	-19.119	-40.040	-78.655	5.239	87.364
2026-07-10T03:47:00	exp-027	TBD	de3a93c4b	Inter-block d/dmin predictor with snap (<0.5% threshold) + one-shot nibble compensation — zstd cross-block byte matching	NULL	510849808	Q4_K_M_CLONE	0	0	494.32	69.42	620	103	22.570067	21.522114	99.25	0.047544	1.048692	1.047954	0.055691	1.975138	0.692475	0.297607	0.150757	0.112187	0.041570	0.005197	0.001680	0.000192	0.000016	0.000002	-0.377	54.499	23.975	13.221	6.938	4.112	0.739	-0.002	-1.089	-4.922	-8.604	-19.168	-39.715	-78.924	5.237	87.443
2026-07-10T03:52:00	exp-028	TBD	de3a93c4b	Soft ls=0 biasing — 2% bias in local search favoring ls=0 for zstd 0x00 byte runs in qs[]	NULL	510848302	Q4_K_M_CLONE	0	0	494.32	68.95	620	103	22.576007	21.522114	99.25	0.047807	1.048968	1.053893	0.055735	1.999595	0.730031	0.300732	0.150572	0.112183	0.041678	0.005157	0.001656	0.000185	0.000014	0.000001	-0.375	50.588	24.837	13.268	6.937	4.131	0.738	-0.002	-1.080	-4.910	-8.666	-19.119	-40.040	-78.655	5.239	87.364
2026-07-10T09:10:09	exp-029	669316125	6693161251	Coupled Min-Scale formula (m=sc) — force m_j=sc_j, formula x=d*sc*q-dmin*sc, eliminated m as independent parameter — PPL 150K, KLD 8.86, catastrophic	REGRESSION	529297440	Q4_K_M_CLONE	0	0	504.77	38.41	NULL	NULL	150381.019395	21.522114	37.09	8.851847	6987.279280	150359.497281	8.857203	25.557745	22.685318	18.954687	15.399492	13.724103	8.639660	4.360030	3.254783	0.894874	0.251141	0.040468	-29.788	89.921	46.192	4.120	-0.002	-0.023	-0.670	-12.116	-56.742	-92.319	-98.059	-99.752	-99.965	-99.996	46.021	2.765
2026-07-10T04:16:00	exp-030	a74764f0e	a74764f0e	5-bit m quantization (m 6→5 bits) — single variable change, quantize-side only, same 144B struct, m coarsening acts as regularization improving KLD	SUCCESS	510315541	Q4_K_M_CLONE	0	0	494.32	38.92	620	103	22.262967	21.522114	99.28	0.033844	1.034423	0.740854	0.054105	3.407342	0.793637	0.284172	0.146202	0.108936	0.039744	0.004905	0.001702	0.000204	0.000022	0.000001	-0.655	44.651	24.044	12.890	6.067	3.369	0.501	-0.008	-1.325	-5.368	-8.788	-19.093	-41.757	-83.113	5.204	87.011
2026-07-10T04:23:00	exp-031	e12c526ef	e12c526ef	4-bit m quantization (m 5→4 bits) — single variable, quantize-side only, coarsening now costs quality	SUCCESS	508506184	Q4_K_M_CLONE	0	0	494.32	72.08	620	103	23.015961	21.522114	99.24	0.067100	1.069410	1.493847	0.056214	6.313797	0.837374	0.313370	0.151515	0.111298	0.040732	0.005552	0.001941	0.000240	0.000021	0.000002	-0.921	46.542	24.280	11.953	5.601	3.007	0.329	-0.030	-1.660	-5.851	-9.581	-19.588	-39.281	-84.669	5.296	87.367
2026-07-10T12:37:00	exp-032	1d9fcb5f0	1d9fcb5f0	CAQ: Compact Asymmetric Quantization — 140-byte block (4+4 packed sc/m, independent d/dmin), first structural block compression, rewritten CPU+CUDA dequant, MMVQ disabled for safety	SUCCESS	505901055	Q4_K_M_CLONE	0	0	482.46	68.41	598	857	23.015961	21.522114	99.24	0.067107	1.069410	1.493847	0.056214	6.313797	0.837374	0.313370	0.151515	0.111298	0.040732	0.005552	0.001941	0.000240	0.000021	0.000002	-0.921	46.542	24.280	11.953	5.601	3.007	0.329	-0.030	-1.660	-5.851	-9.581	-19.588	-39.281	-84.669	5.296	87.367
2026-07-10T17:35:30	exp-033	TBD	fd49af665	CAQ 5+3-bit scales (sc 4→5 bits, m 4→3 bits) within 140-byte block — better scale precision should dominate but min coarsening regressed quality vs 4+4	REGRESSION	506064297	Q4_K_M_CLONE	0	0	482.62	75.63	610	105	22.855169	21.522114	99.22	0.060096	1.061939	1.333055	0.059810	2.301172	0.921927	0.328983	0.163396	0.120610	0.043583	0.005349	0.001874	0.000218	0.000015	-0.000000	-0.473	36.192	24.242	13.890	6.935	4.049	0.695	-0.005	-1.179	-5.105	-8.784	-19.947	-43.647	-73.333	5.482	87.109
2026-07-10T13:04:00	exp-034	f469bc7b8	fd49af665	CAQ d/dmin write-time re-rounding (0xFFC0 mask at final write after refinement) — catastrophic KLD 4.4x above threshold, refinement escaping grid is essential for quality	REGRESSION	504992349	Q4_K_M_CLONE	0	0	481.60	69.91	610	105	28.132273	21.522114	96.61	0.267836	1.307133	6.610159	0.247719	5.455096	2.748752	1.233193	0.666465	0.497804	0.189892	0.030812	0.012090	0.001393	0.000132	0.000015	-3.936	69.643	37.048	20.962	9.104	4.159	0.115	-0.376	-5.880	-17.413	-27.308	-48.733	-74.393	-96.718	12.254	73.994
2026-07-11T00:38:00	exp-035	942f27d57	942f27d57	Collapsed Sub-Block Scales: 144→136 byte block (2B scales instead of 12B), single global sc=avg(x/d) and mn=midpoint — eval segfault on both CPU and GPU, struct size change requires complete CUDA path rewrites for MMQ/MMVQ/repack	FAILED	517122080	Q4_K_M_CLONE	0	0	493.17	12.12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2026-07-11T01:40:00	exp-036	5ea28eb0cb40e8cc1622f8f8793c97600e7a38a1	28d02e2b9	FWHT+CSE: Compact Scale Encoding 140-byte block (4+4 bit sc/m) with FWHT preprocessing — catastrophic failure PPL 6.9M KLD 13.04 same_top_p 0.028%, struct size change breaks either quant or dequant path	FAILED	523209760	Q4_K_M_CLONE	0	0	488.52	9.07	598	0	6900702.211279	21.522114	-1.09	12.678053	320633.107622	6900680.689165	13.040708	30.986742	25.139839	21.353828	18.318359	16.943302	12.669974	9.624856	8.907040	7.549316	5.638277	2.676355	-31.104	42.668	0.007	-0.000	-0.006	-0.042	-0.876	-13.323	-58.860	-94.228	-98.577	-99.837	-99.985	-99.999	47.076	0.028
2026-07-11T01:55:00	exp-037	ee5d7f4aa	ee5d7f4aacbca8accdb5a5de069bb185b6c07dce	5-bit sc (scale) quantization — sc 6→5 bits, single variable, clean FWHT base, quantize-side only, same 144B struct. Complement to exp-030's 5-bit m. First sc coarsening step provides regularization benefit.	SUCCESS	529297440	Q4_K_M_CLONE	0	0	494.32	11.79	0	0	22.895647	21.522114	99.22	0.061866	1.063820	1.373533	0.058347	2.472244	0.827356	0.319613	0.160937	0.118541	0.042432	0.005081	0.001730	0.000212	0.000021	-0.000001	-0.535	47.973	23.114	13.484	6.556	3.690	0.636	-0.004	-1.219	-5.276	-8.965	-19.059	-41.443	-75.696	5.302	87.209
2026-07-11T07:01:49	exp-038	e80354941	64412f029	5-bit sc + 5-bit m COMBINED — both sc and m at 5 bits (was 6+6, now 5+5), clean FWHT base, quantize-side only, same 144B struct. Compound regularization test.	SUCCESS	529297440	Q4_K_M_CLONE	0	0	494.32	9.63	0	0	22.771521	21.522114	99.21	0.056430	1.058052	1.249408	0.060695	2.442928	0.856068	0.318743	0.166736	0.123729	0.044437	0.005547	0.001880	0.000206	0.000014	-0.000001	-0.824	57.542	26.060	12.462	6.072	3.324	0.487	-0.010	-1.514	-5.846	-9.951	-20.282	-43.180	-80.593	5.546	86.775
2026-07-11T09:15:00	exp-039	cc08b1d7d	e80354941	GGUF metadata stripping — remove tokenizer merges/token_type/chat_template, minimize tokens to empty strings, strip general.* fields. Zero struct changes, identically same tensor data as exp-038.	SUCCESS	523209088	Q4_K_M_CLONE	0	0	494.32	11.17	655	782	22.771521	21.522114	99.21	0.056430	1.058052	1.249408	0.060695	2.442928	0.856068	0.318743	0.166736	0.123729	0.044437	0.005547	0.001880	0.000206	0.000014	-0.000001	-0.824	57.542	26.060	12.462	6.072	3.324	0.487	-0.010	-1.514	-5.846	-9.951	-20.282	-43.180	-80.593	5.546	86.775
2026-07-11T07:30:00	exp-040	49265cc5b	dcc52e432	Revert m to 6-bit (sc=5,m=6, best config from exp-037) + add local d/dmin/ls/lm MSE search within 144B struct — maximum quality headroom for future size-reduction	SUCCESS	523209088	Q4_K_M_CLONE	0	0	494.32	22.19	655	784	22.506009	21.522114	99.31	0.044701	1.045716	0.983895	0.051201	3.026608	0.751212	0.274505	0.140329	0.103571	0.037188	0.004611	0.001587	0.000202	0.000018	-0.000002	-0.499	48.772	23.274	12.249	6.035	3.442	0.572	-0.004	-1.158	-4.843	-8.205	-17.550	-38.634	-71.221	4.920	87.871
2026-07-11T03:07:00	exp-042	d5eabc152	bc4fa85a0	CAQ 140-byte block (4+4 bit sc/m, scales 12→8 bytes, struct 144→140B) with complete dispatch path support — MMVQ/MMQ/repack all explicitly disabled, self-contained CPU+CUDA dequant, FWHT preprocessing retained	SUCCESS	512267968	Q4_K_M_CLONE	0	0	488.52	17.49	655	784	22.496586	21.522114	99.21	0.044283	1.045278	0.974472	0.058199	2.374635	0.942745	0.312643	0.158774	0.116718	0.042191	0.005254	0.001890	0.000222	0.000021	0.000001	-0.401	58.307	26.137	14.059	6.907	4.052	0.691	-0.004	-1.160	-5.009	-8.660	-18.664	-40.010	-81.322	5.349	86.857
2026-07-11T03:41:00	exp-043	192506d4c	d5eabc152	Reduce sub-blocks 8→4 (64 elem each), scales 8→4 bytes, struct 140→136B. Hypothesis: FWHT homogenization makes sub-block precision less needed	REGRESSION	506180288	Q4_K_M_CLONE	0	0	482.73	21.40	650	800	22.945543	21.522114	99.00	0.064043	1.066138	1.423429	0.071653	3.394766	1.092912	0.403333	0.196797	0.144651	0.051046	0.006396	0.002180	0.000295	0.000022	-0.000002	-0.923	52.747	27.028	13.887	6.347	3.521	0.525	-0.014	-1.574	-6.364	-10.779	-23.357	-44.691	-94.010	6.042	85.669
2026-07-11T08:51:44	exp-044	044120a1a	7256fc964	5+3 bit sc/m within 8-byte scales (same 140B struct): sc 4→5 bits (mask 0x1F, 0-31), m 4→3 bits (mask 0x7, 0-7). Packing (ls & 0x1F) | ((lm & 0x7) << 5). FWHT symmetrization makes min precision less critical.	SUCCESS	512267968	Q4_K_M_CLONE	0	0	488.52	18.07	73	7014	22.473677	21.522114	99.22	0.043264	1.044213	0.951563	0.058633	4.109398	0.879319	0.309994	0.157479	0.117622	0.043168	0.005396	0.001782	0.000204	0.000012	-0.000001	-0.404	58.315	27.009	13.781	6.931	4.057	0.731	-0.002	-1.163	-5.120	-8.775	-18.334	-38.865	-86.875	5.337	87.162
																																								
2026-07-11T04:00:00	exp-045	$(git -C /home/user/llm/auto_research_0.8B_llama/llama.cpp rev-parse HEAD)	$(git -C /home/user/llm/auto_research_0.8B_llama/llama.cpp rev-parse HEAD~1)	6+2 bit sc/m within 8-byte scales (same 140B struct): sc 5->6 bits (mask 0x3F, 0-63), m 3->2 bits (mask 0x3, 0-3). Packing (ls & 0x3F) | ((lm & 0x3) << 6). FWHT symmetrization -- ultra-coarse 2-bit mins (4 levels).	REGRESSION	512267968	Q4_K_M_CLONE	0	0	488.52	16.89	73	7000	24.047666	21.522114	98.96	0.110957	1.117347	2.525552	0.077962	3.453442	1.266644	0.439703	0.217728	0.159428	0.054594	0.006901	0.002479	0.000313	0.000026	0.000000	-1.026	44.780	27.074	14.364	6.887	3.721	0.424	-0.038	-1.723	-6.591	-11.271
-24.950	-52.366	-84.671	6.450	85.676																														
2026-07-11T07:37:00	exp-051	2d99c929d	36556bae2	Non-uniform quantization grid with power-law template selection (5+1+2 bit ls/tpl/lm encoding, same 140B struct) — tpl steals 1 bit from lm (3→2), non-uniform grid denser near center but lm coarsening costs more than grid benefit	REGRESSION	512267968	Q4_K_M_CLONE	0	0	488.52	31.29	125	49	23.252792	21.522114	99.11	0.077344	1.080414	1.730678	0.067567	3.975145	0.916599	0.368227	0.185705	0.138403	0.048797	0.005995	0.002128	0.000233	0.000018	0.000000	-0.807	55.303	25.895	13.917	6.505	3.585	0.476	-0.023	-1.510	-6.005	-10.036	-21.487	-46.176	-76.833	5.798	86.220																																						
